timestamp,vessel_name,voyage_phase,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status
2025-01-01T06:00:00Z,OSV_DUMMY_01,Outbound Transit,18.9386,72.85168,10.48,149,150,Underway
2025-01-01T06:01:00Z,OSV_DUMMY_01,Outbound Transit,18.93847,72.85146,9.35,265,264,Underway
2025-01-01T06:02:00Z,OSV_DUMMY_01,Outbound Transit,18.93803,72.85175,10.86,7,2,Underway
2025-01-01T06:03:00Z,OSV_DUMMY_01,Outbound Transit,18.93802,72.85226,10.13,46,41,Underway
2025-01-01T06:04:00Z,OSV_DUMMY_01,Outbound Transit,18.93811,72.85209,10.72,218,218,Underway
2025-01-01T06:05:00Z,OSV_DUMMY_01,Outbound Transit,18.93766,72.85203,9.53,259,259,Underway
2025-01-01T06:06:00Z,OSV_DUMMY_01,Outbound Transit,18.93774,72.85161,10.66,235,232,Underway
2025-01-01T06:07:00Z,OSV_DUMMY_01,Outbound Transit,18.93788,72.85172,9.55,183,178,Underway
2025-01-01T06:08:00Z,OSV_DUMMY_01,Outbound Transit,18.93743,72.85204,10.48,264,268,Underway
2025-01-01T06:09:00Z,OSV_DUMMY_01,Outbound Transit,18.93756,72.85236,10.89,206,209,Underway
2025-01-01T06:10:00Z,OSV_DUMMY_01,Outbound Transit,18.93745,72.8523,10.41,356,352,Underway
2025-01-01T06:11:00Z,OSV_DUMMY_01,Outbound Transit,18.93738,72.8525,9.65,232,229,Underway
2025-01-01T06:12:00Z,OSV_DUMMY_01,Outbound Transit,18.9372,72.85184,9.32,263,261,Underway
2025-01-01T06:13:00Z,OSV_DUMMY_01,Outbound Transit,18.9372,72.85191,10.86,144,140,Underway
2025-01-01T06:14:00Z,OSV_DUMMY_01,Outbound Transit,18.93675,72.85226,10.62,80,77,Underway
2025-01-01T06:15:00Z,OSV_DUMMY_01,Outbound Transit,18.93721,72.85194,8.77,341,338,Underway
2025-01-01T06:16:00Z,OSV_DUMMY_01,Outbound Transit,18.93707,72.8524,9.7,5,7,Underway
2025-01-01T06:17:00Z,OSV_DUMMY_01,Outbound Transit,18.93713,72.85197,10.46,41,38,Underway
2025-01-01T06:18:00Z,OSV_DUMMY_01,Outbound Transit,18.93691,72.85205,8.72,79,81,Underway
2025-01-01T06:19:00Z,OSV_DUMMY_01,Outbound Transit,18.93625,72.85273,8.54,312,310,Underway
2025-01-01T06:20:00Z,OSV_DUMMY_01,Outbound Transit,18.93681,72.85235,10.99,51,50,Underway
2025-01-01T06:21:00Z,OSV_DUMMY_01,Outbound Transit,18.93637,72.85271,9.99,30,27,Underway
2025-01-01T06:22:00Z,OSV_DUMMY_01,Outbound Transit,18.9361,72.85226,9.44,275,270,Underway
2025-01-01T06:23:00Z,OSV_DUMMY_01,Outbound Transit,18.93626,72.85268,8.69,237,240,Underway
2025-01-01T06:24:00Z,OSV_DUMMY_01,Outbound Transit,18.93581,72.85225,9.74,324,321,Underway
2025-01-01T06:25:00Z,OSV_DUMMY_01,Outbound Transit,18.93609,72.85289,8.96,339,344,Underway
2025-01-01T06:26:00Z,OSV_DUMMY_01,Outbound Transit,18.93603,72.85261,9.0,312,317,Underway
2025-01-01T06:27:00Z,OSV_DUMMY_01,Outbound Transit,18.9359,72.85264,9.75,227,230,Underway
2025-01-01T06:28:00Z,OSV_DUMMY_01,Outbound Transit,18.93576,72.85261,9.48,33,29,Underway
2025-01-01T06:29:00Z,OSV_DUMMY_01,Outbound Transit,18.93542,72.85282,9.98,188,185,Underway
2025-01-01T06:30:00Z,OSV_DUMMY_01,Outbound Transit,18.93541,72.8526,9.65,121,123,Underway
2025-01-01T06:31:00Z,OSV_DUMMY_01,Outbound Transit,18.93551,72.85253,9.97,244,242,Underway
2025-01-01T06:32:00Z,OSV_DUMMY_01,Outbound Transit,18.93501,72.85242,9.61,273,275,Underway
2025-01-01T06:33:00Z,OSV_DUMMY_01,Outbound Transit,18.93491,72.85255,9.99,6,11,Underway
2025-01-01T06:34:00Z,OSV_DUMMY_01,Outbound Transit,18.93518,72.85309,10.09,220,221,Underway
2025-01-01T06:35:00Z,OSV_DUMMY_01,Outbound Transit,18.9352,72.85293,9.21,339,334,Underway
2025-01-01T06:36:00Z,OSV_DUMMY_01,Outbound Transit,18.93462,72.85303,10.7,331,331,Underway
2025-01-01T06:37:00Z,OSV_DUMMY_01,Outbound Transit,18.93438,72.85252,10.39,161,165,Underway
2025-01-01T06:38:00Z,OSV_DUMMY_01,Outbound Transit,18.93426,72.85303,9.31,180,183,Underway
2025-01-01T06:39:00Z,OSV_DUMMY_01,Outbound Transit,18.93432,72.85313,9.93,289,284,Underway
2025-01-01T06:40:00Z,OSV_DUMMY_01,Outbound Transit,18.93427,72.85287,8.77,259,260,Underway
2025-01-01T06:41:00Z,OSV_DUMMY_01,Outbound Transit,18.93456,72.85291,9.04,224,221,Underway
2025-01-01T06:42:00Z,OSV_DUMMY_01,Outbound Transit,18.9344,72.85344,9.85,21,26,Underway
